index,sanityId,title,slug,sku,sourceUrl,categoryPath,productType,isActive,recordType,verificationStatus,galleryAssetCount,galleryImageUrlCount,rawImageUrlCount,sectionCount,variantCount,optionGroupCount,officialTitle,officialSubtitle,officialSku,officialSourceUrl,officialGalleryCount,officialSectionCount,verifiedAt,notes
107,prod_kent__mousestat-pulse-oximeter-whole-body-sensors-for-rat-pups,MouseSTAT® Pulse Oximeter Whole Body Sensors for Rat Pups,mousestat-pulse-oximeter-whole-body-sensors-for-rat-pups,SPO2-5MM,https://www.kentscientific.com/products/mousestat-pulse-oximeter-whole-body-sensors-for-rat-pups/,physiological-monitoring-accessories,simple,true,PRODUCT,UNVERIFIED,3,0,3,0,0,0,,,,,,,,
108,prod_kent__nebulizer-adapter-kit,Nebulizer Adapter Kit,nebulizer-adapter-kit,NEB-1301,https://www.kentscientific.com/products/nebulizer-adapter-kit/,nebulizers,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
109,prod_kent__nebulizer-animal-holders,Nebulizer Animal Holders,nebulizer-animal-holders,HLD-NEB-ML,https://www.kentscientific.com/products/nebulizer-animal-holders/,animal-holders,variant,true,PRODUCT,UNVERIFIED,19,0,19,0,7,1,,,,,,,,
110,prod_kent__non-contact-infrared-thermometer-with-laser-sight,Non-Contact Infrared Thermometer with Laser Sight,non-contact-infrared-thermometer-with-laser-sight,CODA-IRT,https://www.kentscientific.com/products/non-contact-infrared-thermometer-with-laser-sight/,physiological-monitoring > physiological-monitoring-accessories > temperature,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
111,prod_kent__oxygen-concentrator,Oxygen Concentrator,oxygen-concentrator,VETFLO-001,https://www.kentscientific.com/products/oxygen-concentrator/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,8,0,8,0,2,1,,,,,,,,
112,product-kent-c87004188399d5c7,Oxygen Concentrator Filters,oxygen-concentrator-filters,N/A,https://www.kentscientific.com/products/oxygen-concentrator-filters/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,2,1,,,,,,,,
113,prod_kent__physiosuite,PhysioSuite®,physiosuite,PS-02,https://www.kentscientific.com/products/physiosuite/,physiological-monitoring,simple,true,PRODUCT,UNVERIFIED,7,0,7,0,0,0,,,,,,,,
114,prod_kent__pistol-grip-implanter,Pistol Grip Implanter,pistol-grip-implanter,IM-300C,https://www.kentscientific.com/products/pistol-grip-implanter/,rfid-transponder-system,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
115,prod_kent__pocket-reader-with-usb-connection,Pocket Reader with USB Connection,pocket-reader-with-usb-connection,LID-573,https://www.kentscientific.com/products/pocket-reader-with-usb-connection/,rfid-transponder-system,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
116,prod_kent__preset-pressure-reducer-for-somnosuite,Preset Pressure Reducer,preset-pressure-reducer-for-somnosuite,SOMNO-7305,https://www.kentscientific.com/products/preset-pressure-reducer-for-somnosuite/,anesthesia > anesthesia-accessories,simple,true,PRODUCT,UNVERIFIED,5,0,5,0,0,0,,,,,,,,
117,prod_kent__procedure-bowl,Procedure Bowl,procedure-bowl,SURGI-5020-3,https://www.kentscientific.com/products/procedure-bowl/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
118,prod_kent__pulse-oximeter-paw-sensors-mri-compatible,Pulse Oximeter Paw Sensors MRI Compatible,pulse-oximeter-paw-sensors-mri-compatible,SPO2-5MM-MRI,https://www.kentscientific.com/products/pulse-oximeter-paw-sensors-mri-compatible/,physiological-monitoring-accessories,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,3,1,,,,,,,,
119,prod_kent__pulse-oximeter-sensor-extension-cable,Pulse Oximeter Sensor Extension Cable,pulse-oximeter-sensor-extension-cable,CBL-03-EXT-12,https://www.kentscientific.com/products/pulse-oximeter-sensor-extension-cable/,physiological-monitoring-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
120,prod_kent__rat-retractor-set,Rat Retractor Set,rat-retractor-set,SURGI-5002,https://www.kentscientific.com/products/rat-retractor-set/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
121,product-kent-4a9ccb7b2be42b71,Rat Surgical Kit,rat-surgical-kit,INSRATKIT,https://www.kentscientific.com/products/rat-surgical-kit/,surgery > surgical-instruments > surgical-instrument-kits,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
122,prod_kent__rectal-probe-for-mice,Rectal Probe for Mice,rectal-probe-for-mice,RET-3,https://www.kentscientific.com/products/rectal-probe-for-mice/,physiological-monitoring > physiological-monitoring-accessories > temperature,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
123,prod_kent__rectal-probe-for-rats,Rectal Probe for Rats,rectal-probe-for-rats,RET-2,https://www.kentscientific.com/products/rectal-probe-for-rats/,physiological-monitoring > physiological-monitoring-accessories > temperature,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
124,prod_kent__reflex-clip-applier,Reflex Clip Applier,reflex-clip-applier,INS750343,https://www.kentscientific.com/products/reflex-clip-applier/,surgery > surgical-instruments > wound-closure > reflex-clips,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
125,prod_kent__reflex-clips-7-mm,Reflex Clips 7 mm,reflex-clips-7-mm,INS750344,https://www.kentscientific.com/products/reflex-clips-7-mm/,surgery > surgical-instruments > wound-closure > reflex-clips,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
126,product-kent-a035962c3da4b57f,Reflex Clips 9 mm,reflex-clips-9-mm,INS750346,https://www.kentscientific.com/products/reflex-clips-9-mm/,surgery > surgical-instruments > wound-closure > reflex-clips,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
127,product-kent-83dcb9a3196bdfa1,Removing Forceps,removing-forceps,INS750347,https://www.kentscientific.com/products/removing-forceps/,surgery > surgical-instruments > wound-closure > autoclips,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
128,prod_kent__replacement-bladder-kits,Replacement Bladder Kits,replacement-bladder-kits,OCC-L-BLAD,https://www.kentscientific.com/products/replacement-bladder-kits/,noninvasive-blood-pressure > noninvasive-blood-pressure-accessories > accessories-for-coda-monitor > coda-cuffs,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,9,2,,,,,,,,
129,product-kent-8043a392aafcec36,Replacement Diaphragms for SomnoSuite Anesthesia Masks,replacement-diaphragms-for-somnosuite-anesthesia-masks,SOMNO-0309,https://www.kentscientific.com/products/replacement-diaphragms-for-somnosuite-anesthesia-masks/,anesthesia > anesthesia-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
130,prod_kent__replacement-glass-beads,Replacement Glass Beads,replacement-glass-beads,INS700861-3,https://www.kentscientific.com/products/replacement-glass-beads/,instrument-cleaning,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
131,prod_kent__replacement-surgical-field-covers,Replacement Surgical Field Covers,replacement-surgical-field-covers,SURGI-5021-2,https://www.kentscientific.com/products/replacement-surgical-field-covers/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,variant,true,PRODUCT,UNVERIFIED,6,0,6,0,2,1,,,,,,,,
132,prod_kent__retractor-tips,Retractor Tips,retractor-tips,SURGI-5014-2,https://www.kentscientific.com/products/retractor-tips/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,5,1,,,,,,,,
133,prod_kent__retractor-wires,Retractor Wires,retractor-wires,SURGI-5012-2,https://www.kentscientific.com/products/retractor-wires/,surgery > surgical-accessories > surgical-accessories-for-surgisuite,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
134,prod_kent__righttemp,RightTemp®,righttemp,555,https://www.kentscientific.com/products/righttemp/,physiological-monitoring > physiological-monitoring-accessories > temperature,simple,true,PRODUCT,UNVERIFIED,12,0,12,0,0,0,,,,,,,,
135,prod_kent__righttemp-jr,RightTemp® Jr.,righttemp-jr,RT-JR,https://www.kentscientific.com/products/righttemp-jr/,physiological-monitoring > physiological-monitoring-accessories > temperature,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
136,prod_kent__righttemp-sensor-for-animal-or-warming-pad,RightTemp® Sensor for Animal or Warming Pad,righttemp-sensor-for-animal-or-warming-pad,RT-0001-9,https://www.kentscientific.com/products/righttemp-sensor-for-animal-or-warming-pad/,physiological-monitoring > physiological-monitoring-accessories > temperature,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,2,1,,,,,,,,
137,prod_kent__rovent,RoVent®,rovent,RV-04,https://www.kentscientific.com/products/rovent/,ventilation,simple,true,PRODUCT,UNVERIFIED,8,0,8,0,0,0,,,,,,,,
138,prod_kent__rovent-jr,RoVent® Jr.,rovent-jr,RV-JR,https://www.kentscientific.com/products/rovent-jr/,ventilation,simple,true,PRODUCT,UNVERIFIED,3,0,3,0,0,0,,,,,,,,
139,prod_kent__skinscanner-1,SkinScanner,skinscanner-1,SKINSCANNER,https://www.kentscientific.com/products/skinscanner-1/,body-composition-analysis,simple,true,PRODUCT,UNVERIFIED,7,0,7,0,0,0,,,,,,,,
140,product-kent-3f7e4f9b87b72acf,Sliding Top Chambers,sliding-top-chambers-for-somnosuite,N/A,https://www.kentscientific.com/products/sliding-top-chambers-for-somnosuite/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,4,1,,,,,,,,
141,prod_kent__sliding-top-chambers-for-traditional-vaporizers,Sliding Top Chambers for Traditional Vaporizers,sliding-top-chambers-for-traditional-vaporizers,N/A,https://www.kentscientific.com/products/sliding-top-chambers-for-traditional-vaporizers/,anesthesia > anesthesia-accessories,variant,true,PRODUCT,UNVERIFIED,4,0,4,0,3,1,,,,,,,,
142,product-kent-8d3043991db56b38,Small Bulldog Clamp,small-bulldog-clamp,INS600118-2,https://www.kentscientific.com/products/small-bulldog-clamp/,surgery > surgical-instruments > wound-closure > bull-dog-clamps,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
143,prod_kent__somnoflo,SomnoFlo®,somnoflo,SF-01,https://www.kentscientific.com/products/somnoflo/,anesthesia,simple,true,PRODUCT,UNVERIFIED,6,0,6,0,0,0,,,,,,,,
144,prod_kent__somnoflo-o2care,SomnoFlo® O2Care,somnoflo-o2care,SF-06,https://www.kentscientific.com/products/somnoflo-o2care/,anesthesia,simple,true,PRODUCT,UNVERIFIED,7,0,7,0,0,0,,,,,,,,
145,prod_kent__somnosuite,SomnoSuite®,somnosuite,SS-01,https://www.kentscientific.com/products/somnosuite/,anesthesia,simple,true,PRODUCT,UNVERIFIED,10,0,10,0,0,0,,,,,,,,
146,product-kent-f5dff9a71ee46a7e,SomnoSuite® Delivery Tube,somnosuite-delivery-tube,10-4000-66,https://www.kentscientific.com/products/somnosuite-delivery-tube/,anesthesia > anesthesia-accessories,simple,true,PRODUCT,UNVERIFIED,4,0,4,0,0,0,,,,,,,,
